rollnumber,vote_question,vote_desc,bill_excerpt,reason,bill_number,bias_type
4,On the Resolution,"A resolution commending the people of Iraq on the January 30, 2005, national elections.","Whereas on January 30, 2005, Iraq held its first democratic elections in nearly half a century; Whereas after more than 3 decades of enduring harsh repression and lack of freedom, millions cast ballots on January 30, 2005, to determine the future of their country in an election widely recognized as a success by the international community; Whereas the hard work, contributions, vision, and sacrifices of the Interim Iraqi Government in undertaking major political, economic, social, and legal reforms and, in conjunction with the efforts of the Iraqi Independent Electoral Commission, in ensuring that Iraq held nationwide elections on January 30, and in not being intimidated by terrorist and insurgent forces resulted in the successful elections of January 30; Resolved, That the Senate-- (1) commends the people of Iraq on the successful nationwide elections held in Iraq on January 30, 2005, and recognizes the elections as another step in developing a free and democratic Iraq; (2) recognizes the desire for freedom and liberty of all individuals who served as candidates, campaign workers, United Nations and Iraqi election officials, and voters in the January 30, 2005, elections in Iraq and congratulates the new members of the Transitional National Assembly and the leaders of the provincial and regional governments; (3) urges the new leadership of Iraq to move forward with drafting the constitution, upholding the law, and holding a referendum on the new constitution in October 2005; (8) supports the establishment of a fully democratic Iraqi government that respects the rule of law, promotes ethnic and religious tolerance, respects the rights of women and all minorities, provides security and stability for the people of Iraq, and has the capacity to maintain basic services such as the delivery of sufficient electricity, gasoline, and water; (9) believes that it is in the interest of the people of Iraq, the Middle East, the United States, and the international community that Iraq transitions to a fully democratic state, and that doing so may serve as a catalyst for peace and stability in the region.","These excerpts directly address the resolution's purpose of commending the Iraqi people for their democratic elections. They highlight the significance of the elections, the efforts of the Iraqi government, and the broader implications for democracy in Iraq and the region. The excerpts also capture the resolution's support for continued democratic development and the importance of recognizing participants in the electoral process, making them relevant to the legislators' decision to vote in favor of the resolution.",SRES38,328
5,On the Motion to Table,To exempt class action lawsuits brought by the attorney general of any State from the modified civil procedures required by this Act.,To exempt class action lawsuits brought by the attorney general of any State from the modified civil procedures required by this Act.,"This excerpt directly addresses the core issue of the vote, which is whether to exempt class action lawsuits initiated by state attorneys general from the modified civil procedures established by this Act. This is the specific provision that legislators are considering when they vote on the motion to table.",S5,200
6,On the Amendment,"To amend the definition of class action in title 28, United States Code, to exclude class actions relating to civil rights or the payment of wages.","To amend the definition of class action in title 28, United States Code, to exclude class actions relating to civil rights or the payment of wages.","This excerpt directly addresses the focus of the vote, which is to amend the definition of class action. It clearly states the intent to exclude class actions concerning civil rights and wage payments, which is the main subject legislators are voting on.",S5,100
7,On the Amendment,"To clarify the application of State law in certain class actions, and for other purposes.","To amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes. Congress finds the following: (1) Class action lawsuits are an important and valuable part of the legal system when they permit the fair and efficient resolution of legitimate claims of numerous parties by allowing the claims to be aggregated into a single action against a defendant that has allegedly caused harm. Over the past decade, there have been abuses of the class action device that have harmed class members with legitimate claims and defendants that have acted responsibly; adversely affected interstate commerce; and undermined public respect for our judicial system. The purposes of this Act are to assure fair and prompt recoveries for class members with legitimate claims; restore the intent of the framers of the United States Constitution by providing for Federal court consideration of interstate cases of national importance under diversity jurisdiction; and benefit society by encouraging innovation and lowering consumer prices. The court may approve a proposed settlement under which any class member is obligated to pay sums to class counsel that would result in a net loss to the class member only if the court makes a written finding that nonmonetary benefits to the class member substantially outweigh the monetary loss. The court may not approve a proposed settlement that provides for the payment of greater sums to some class members than to others solely on the basis that the class members to whom the greater sums are to be paid are located in closer geographic proximity to the court. A class action may be removed to a district court of the United States in accordance with section 1446 without regard to whether any defendant is a citizen of the State in which the action is brought, except that such action may be removed by any defendant without the consent of all defendants.","These excerpts were chosen because they directly address the key issues concerning the amendment's focus on clarifying the application of state law in class actions. They highlight the intent of the legislation to ensure fair treatment for class members and defendants, the potential abuses in class action lawsuits, and the provisions for appropriate judicial scrutiny in approving settlements. The mention of federal jurisdiction and the conditions under which class actions can be removed to federal courts are particularly relevant to the legislators' decision-making process on the amendment.",S5,100
8,On the Amendment,To establish time limits for action by Federal district courts on motions to remand cases that have been removed to Federal court.,"SEC. 5. REMOVAL OF INTERSTATE CLASS ACTIONS TO FEDERAL DISTRICT COURT. (a) In General.--Chapter 89 is amended by adding after section 1452 the following: ""Sec. 1453. Removal of class actions (a) Definitions.--In this section, the terms 'class', 'class action', 'class certification order', and 'class member' shall have the meanings given such terms under section 1332(d)(1). (b) In General.--A class action may be removed to a district court of the United States in accordance with section 1446 (except that the 1-year limitation under section 1446(b) shall not apply), without regard to whether any defendant is a citizen of the State in which the action is brought, except that such action may be removed by any defendant without the consent of all defendants. (c) Review of Remand Orders.-- (1) In general.--Section 1447 shall apply to any removal of a case under this section, except that notwithstanding section 1447(d), a court of appeals may accept an appeal from an order of a district court granting or denying a motion to remand a class action to the State court from which it was removed if application is made to the court of appeals not less than 7 days after entry of the order. (2) Time period for judgment.--If the court of appeals accepts an appeal under paragraph (1), the court shall complete all action on such appeal, including rendering judgment, not later than 60 days after the date on which such appeal was filed, unless an extension is granted under paragraph (3). (3) Extension of time period.--The court of appeals may grant an extension of the 60-day period described in paragraph (2) if-- (A) all parties to the proceeding agree to such extension, for any period of time; or (B) such extension is for good cause shown and in the interests of justice, for a period not to exceed 10 days. (4) Denial of appeal.--If a final judgment on the appeal under paragraph (1) is not issued before the end of the period described in paragraph (2), including any extension under paragraph (3), the appeal shall be denied. (d) Exception.--This section shall not apply to any class action that solely involves-- (1) a claim concerning a covered security as defined under section 16(f)(3) of the Securities Act of 1933 (15 U.S.C. 78p(f)(3)) and section 28(f)(5)(E) of the Securities Exchange Act of 1934 (15 U.S.C. 78bb(f)(5)(E)); (2) a claim that relates to the internal affairs or governance of a corporation or other form of business enterprise and arises under or by virtue of the laws of the State in which such corporation or business enterprise is incorporated or organized; or (3) a claim that relates to the rights, duties (including fiduciary duties), and obligations relating to or created by or pursuant to any security (as defined under section 2(a)(1) of the Securities Act of 1933 (15 U.S.C. 77b(a)(1)) and the regulations issued thereunder)."".","These excerpts are directly relevant to the proposed amendment regarding the establishment of time limits for actions taken by Federal district courts on motions to remand cases. The section outlines the procedures for removing class actions to Federal court and specifies the process for reviewing remand orders, including the time constraints related to such actions. This aligns with the amendment's intent to streamline court processes and ensure timely judgments on remand motions.",S5,100
9,On Passage of the Bill,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.","SEC. 2. FINDINGS AND PURPOSES.
(a) Findings.--Congress finds the following:
(1) Class action lawsuits are an important and valuable part of the legal system when they permit the fair and efficient resolution of legitimate claims of numerous parties by allowing the claims to be aggregated into a single action against a defendant that has allegedly caused harm.
(2) Over the past decade, there have been abuses of the class action device that have--
(A) harmed class members with legitimate claims and defendants that have acted responsibly;
(B) adversely affected interstate commerce; and
(C) undermined public respect for our judicial system.
(3) Class members often receive little or no benefit from class actions, and are sometimes harmed, such as where--
(A) counsel are awarded large fees, while leaving class members with coupons or other awards of little or no value;
(B) unjustified awards are made to certain plaintiffs at the expense of other class members;
(C) confusing notices are published that prevent class members from being able to fully understand and effectively exercise their rights.
(4) Abuses in class actions undermine the national judicial system, the free flow of interstate commerce, and the concept of diversity jurisdiction as intended by the framers of the United States Constitution, in that State and local courts are--
(A) keeping cases of national importance out of Federal court;
(B) sometimes acting in ways that demonstrate bias against out-of-State defendants;
(C) making judgments that impose their view of the law on other States and bind the rights of the residents of those States.
(b) Purposes.--The purposes of this Act are to--
(1) assure fair and prompt recoveries for class members with legitimate claims;
(2) restore the intent of the framers of the United States Constitution by providing for Federal court consideration of interstate cases of national importance under diversity jurisdiction; and
(3) benefit society by encouraging innovation and lowering consumer prices.","These excerpts outline the findings and purposes of the bill, highlighting the intent to address abuses in class action lawsuits that have harmed legitimate class members and undermined the judicial system. This directly relates to the bill's goal of amending procedures for interstate class actions to ensure fairer outcomes, which is the central focus of the vote.",S5,200
11,On Passage of the Bill,A bill to prohibit discrimination on the basis of genetic information with respect to health insurance and employment.,"To prohibit discrimination on the basis of genetic information with respect to health insurance and employment. Congress makes the following findings: (1) The potential misuse of genetic information to discriminate in health insurance and employment is a concern. (2) Federal law addressing genetic discrimination in health insurance and employment is incomplete. (3) It is an unlawful employment practice for an employer to discriminate against any employee with respect to the compensation or terms of employment because of genetic information. (4) Employers shall not request or require genetic testing. (5) A group health plan shall not use genetic information for any purpose related to underwriting, eligibility, or premium rates. (6) The provisions of this Act will apply uniformly across states to ensure clarity and protection against genetic discrimination.","These excerpts were chosen because they directly address the core purpose of the bill: prohibiting discrimination based on genetic information in employment and health insurance contexts. They outline the reasons for the bill, the unlawful practices it aims to prevent, and the regulatory framework it establishes, which are essential for legislators to understand the implications of their vote.",S306,328
19,On the Joint Resolution,"A joint resolution providing for congressional disapproval of the rule submitted by the Department of Agriculture under chapter 8 of title 5, United States Code, relating to risk zones for introduction of bovine spongiform encephalopathy.","Resolved by the Senate and House of Representatives of the United States of America in Congress assembled, That Congress disapproves the rule submitted by the Department of Agriculture relating to the establishment of minimal risk zones for introduction of bovine spongiform encephalopathy (published at 70 Fed. Reg. 460 (2005)), and such rule shall have no force or effect.","This excerpt directly addresses the essence of the vote, which is to disapprove the Department of Agriculture's rule regarding risk zones for bovine spongiform encephalopathy. It clearly states the congressional intent to invalidate the existing rule, making it highly relevant for legislators to understand the specific action they are voting on.",SJRES4,100
45,On the Amendment,To restore funding for education programs that are cut and reduce debt by closing corporate tax loopholes.,"SEC. 314. RESERVE FOR FUNDING OF HOPE CREDIT. If the Committee on Finance of the Senate reports a bill or joint resolution, or an amendment thereto is offered or a conference report thereon is submitted, that increases the Hope credit to $4,000, and makes the credit available for 4 years, the chairman of the Committee on the Budget may revise committee allocations for the Committee on Finance and other appropriate budgetary aggregates and allocations of new budget authority and outlays by the amount provided by that measure for that purpose, if that measure includes offsets including legislation closing corporate tax loopholes and would not increase the deficit for fiscal year 2006 and for the period of fiscal years 2006 though 2010.","This excerpt is relevant because it directly addresses the proposed increase in funding for educational programs through the Hope credit and stipulates that such funding would be offset by closing corporate tax loopholes, which is part of the amendment legislators are voting on. It ties together the themes of restoring educational funding and reducing debt through tax reforms.",SCONRES18,100
46,On the Amendment,To express the sense of the Senate regarding the urgent need for legislation to ensure the long-term viability of the Social Security program.,"SEC. 510. SENSE OF THE SENATE REGARDING SOCIAL SECURITY RESTRUCTURING.
(a) Findings.--The Senate finds that--
(1) Social Security is the foundation of retirement income for most Americans;
(2) preserving and strengthening the long term viability of Social Security is a vital national priority and is essential for the retirement security of today's working Americans, current and future retirees, and their families;
(3) Social Security faces significant fiscal and demographic pressures;
(4) the nonpartisan Office of the Chief Actuary at the Social Security Administration reports that--
(A) the number of workers paying taxes to support each Social Security beneficiary has dropped from 16.5 in 1950 to 3.3 in 2002;
(B) within a generation there will be only 2 workers to support each retiree, which will substantially increase the financial burden on American workers;
(C) without structural reform, the Social Security system, beginning in 2018, will pay out more in benefits than it will collect in taxes;
(D) without structural reform, the Social Security trust fund will be exhausted in 2042, and Social Security tax revenue in 2042 will only cover 73 percent of promised benefits, and will decrease to 68 percent by 2078;
(E) without structural reform, future Congresses may have to raise payroll taxes 50 percent over the next 75 years to pay full benefits on time, resulting in payroll tax rates of as much as 16.9 percent by 2042 and 18.3 percent by 2078;
(F) without structural reform, Social Security's total cash shortfall over the next 75 years is estimated to be $3,700,000,000,000 measured in present value terms; and
(G) absent structural reforms, spending on Social Security will increase from 4.3 percent of gross domestic product in 2004 to 6.6 percent in 2078;
(5) the Congressional Budget Office, the Government Accountability Office, the Congressional Research Service, the Chairman of the Federal Reserve Board, and the President's Commission to Strengthen Social Security have all warned that failure to enact fiscally responsible Social Security reform quickly will result in 1 or more of the following:
(A) Higher tax rates.
(B) Lower Social Security benefit levels.
(C) Increased Federal debt or less spending on other federal programs.
(b) Sense of the Senate.--It is the sense of the Senate that--
(1) the President, the Congress, and the American people including seniors, workers, women, minorities, and disabled persons should work together at the earliest opportunity to enact legislation to achieve a solvent and permanently sustainable Social Security system;
(2) Social Security reform--
(A) must protect current and near retirees from any changes to Social Security benefits;
(B) must reduce the pressure on future taxpayers and on other budgetary priorities;
(C) must provide benefit levels that adequately reflect individual contributions to the Social Security system; and
(D) must preserve and strengthen the safety net for vulnerable populations including the disabled and survivors; and
(3) the Senate should honor section 13301 of the Budget Enforcement Act of 1990.","These excerpts were chosen because they explicitly outline the urgent need for legislation regarding Social Security's long-term viability, which is the focus of the vote. They include critical findings about the current state of Social Security, the impending financial challenges, and the importance of reform to ensure the program's sustainability for future generations. The excerpts highlight the potential consequences of inaction, which directly relate to the legislators' decision on the amendment expressing the Senate's sense regarding Social Security.",SCONRES18,328
