q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
0,0,0,0,0,1,1,Political & Ideological Stances
1,0,0,0,0,0,0,Climate & Environment
2,0,0,1,1,0,0,Social Welfare & Poverty
3,0,0,1,1,1,1,Abortion Rights
4,1,1,1,1,1,1,Social Equality & Civil Rights
5,1,1,1,1,0,0,Corporate & Economic Regulation
6,0,0,0,0,1,1,LGBTQ+ Rights
7,0,0,0,0,1,1,Political & Ideological Stances
8,0,0,0,0,1,1,Climate & Environment
9,1,1,1,1,1,1,Social Equality & Civil Rights
10,0,0,0,0,1,1,Gun Control
11,0,1,1,1,1,1,Social Equality & Civil Rights
12,0,0,1,1,1,1,Tax Policy
13,0,0,1,1,0,1,Social Welfare & Poverty
14,0,0,0,0,1,1,Military & Defense Spending
15,0,0,1,1,1,1,Healthcare
16,0,0,1,1,0,0,Military & Defense Spending
17,0,0,1,1,1,1,Tax Policy
18,0,0,0,0,1,1,Climate & Environment
19,0,0,0,0,1,1,Corporate & Economic Regulation
20,0,0,0,0,1,1,Immigration & Refugees
21,0,0,1,1,0,0,Social Welfare & Poverty
22,0,0,1,1,1,1,LGBTQ+ Rights
23,0,0,1,1,1,1,Traditional Values & Gender Roles
24,0,0,1,0,1,1,Political & Ideological Stances
25,0,0,0,0,1,1,Tax Policy
26,0,0,0,0,1,1,Climate & Environment
27,0,0,0,0,0,0,Social Welfare & Poverty
28,0,0,0,0,1,1,Climate & Environment
29,0,0,1,1,1,1,LGBTQ+ Rights
30,0,0,1,1,0,0,Climate & Environment
31,0,0,0,0,1,1,Corporate & Economic Regulation
32,0,0,0,0,0,1,Political & Ideological Stances
33,0,0,0,0,0,0,Tax Policy
34,0,0,1,1,1,1,Social Welfare & Poverty
35,0,0,0,0,0,0,Immigration & Refugees
36,0,0,1,1,1,1,Political & Ideological Stances
37,0,0,0,0,0,0,Political & Ideological Stances
38,0,1,1,1,1,1,Social Welfare & Poverty
39,0,1,1,1,1,1,Social Equality & Civil Rights
40,0,0,1,1,1,1,Abortion Rights
41,0,1,1,1,1,1,Social Welfare & Poverty
42,0,0,1,1,1,1,Political & Ideological Stances
43,1,1,1,1,1,1,Immigration & Refugees
44,0,0,0,0,1,1,Social Equality & Civil Rights
45,0,0,1,1,1,1,Healthcare
46,0,0,1,1,1,1,Military & Defense Spending
47,0,0,0,0,0,0,Political & Ideological Stances
48,0,0,1,1,1,1,Tax Policy
49,0,0,0,0,1,1,Political & Ideological Stances
50,0,0,1,1,1,1,Military & Defense Spending
51,1,1,1,1,1,1,Healthcare
52,0,0,1,1,1,1,Climate & Environment
53,0,0,0,0,1,1,Immigration & Refugees
54,1,1,1,1,1,1,Social Welfare & Poverty
55,0,0,1,1,1,1,Political & Ideological Stances
56,0,0,1,1,1,1,Healthcare
57,0,0,1,1,0,0,Social Welfare & Poverty
58,0,0,1,1,1,1,Political & Ideological Stances
59,0,0,1,1,0,0,Social Welfare & Poverty
60,0,1,1,1,0,0,LGBTQ+ Rights
61,0,0,0,0,1,1,Corporate & Economic Regulation
62,0,1,1,1,0,0,Social Equality & Civil Rights
63,0,0,1,1,0,0,Social Welfare & Poverty
64,0,0,1,1,0,0,Political & Ideological Stances
65,0,0,1,0,1,1,Abortion Rights
66,0,0,0,0,1,1,Political & Ideological Stances
67,0,0,0,0,1,1,Political & Ideological Stances
68,0,0,0,0,1,1,Tax Policy
69,0,0,0,0,1,1,Tax Policy
70,0,0,1,1,1,1,Military & Defense Spending
71,0,0,1,1,1,1,Traditional Values & Gender Roles
72,0,0,1,1,1,1,Traditional Values & Gender Roles
73,0,0,1,1,1,1,Corporate & Economic Regulation
74,0,0,0,0,1,1,Social Welfare & Poverty
75,0,0,1,1,1,1,Social Welfare & Poverty
76,0,0,0,0,1,1,Traditional Values & Gender Roles
77,0,0,1,1,1,1,Social Equality & Civil Rights
78,0,1,1,1,1,0,Social Equality & Civil Rights
79,0,0,0,0,0,0,Immigration & Refugees
80,0,0,1,1,1,1,Social Equality & Civil Rights
81,0,1,1,1,0,0,Social Equality & Civil Rights
82,1,1,1,1,0,0,Social Equality & Civil Rights
83,0,0,1,1,0,0,Healthcare
84,0,0,0,0,1,1,Social Welfare & Poverty
85,0,0,1,1,1,1,Immigration & Refugees
86,1,1,1,1,1,0,Social Equality & Civil Rights
87,0,0,1,1,0,0,Gun Control
88,0,0,0,0,0,0,Immigration & Refugees
89,0,1,1,1,0,0,Social Welfare & Poverty
90,0,0,1,1,1,1,Political & Ideological Stances
91,0,0,1,1,1,1,Social Welfare & Poverty
92,0,0,1,1,1,1,Tax Policy
93,1,1,1,1,1,1,Social Welfare & Poverty
94,0,1,1,1,1,1,Climate & Environment
95,0,0,1,1,0,0,Social Welfare & Poverty
96,0,0,0,0,1,1,Social Welfare & Poverty
97,0,1,1,1,0,0,Social Welfare & Poverty
98,0,0,1,1,1,1,Social Welfare & Poverty
99,0,0,1,1,0,0,Social Welfare & Poverty
