q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
0,1,1,1,1,0,0,Political & Ideological Stances
1,1,1,1,1,1,1,Climate & Environment
2,0,0,1,1,0,0,Social Welfare & Poverty
3,1,1,0,0,0,0,Abortion Rights
4,1,1,1,1,1,1,Social Equality & Civil Rights
5,1,1,1,1,0,0,Corporate & Economic Regulation
6,1,1,1,1,0,0,LGBTQ+ Rights
7,1,1,1,1,0,0,Political & Ideological Stances
8,1,1,1,1,0,0,Climate & Environment
9,1,1,1,1,1,1,Social Equality & Civil Rights
10,1,1,1,1,0,0,Gun Control
11,0,1,1,1,1,1,Social Equality & Civil Rights
12,1,1,0,0,0,0,Tax Policy
13,0,0,1,1,0,1,Social Welfare & Poverty
14,1,1,1,1,0,0,Military & Defense Spending
15,0,0,1,1,1,1,Healthcare
16,0,0,1,1,0,0,Military & Defense Spending
17,1,1,0,0,0,0,Tax Policy
18,1,1,1,1,0,0,Climate & Environment
19,1,1,1,1,0,0,Corporate & Economic Regulation
20,1,1,1,1,0,0,Immigration & Refugees
21,0,0,1,1,0,0,Social Welfare & Poverty
22,1,1,0,0,0,0,LGBTQ+ Rights
23,1,1,0,0,0,0,Traditional Values & Gender Roles
24,1,1,0,1,0,0,Political & Ideological Stances
25,1,1,1,1,0,0,Tax Policy
26,1,1,1,1,0,0,Climate & Environment
27,1,1,1,1,1,1,Social Welfare & Poverty
28,1,1,1,1,0,0,Climate & Environment
29,0,0,1,1,1,1,LGBTQ+ Rights
30,0,0,1,1,0,0,Climate & Environment
31,1,1,1,1,0,0,Corporate & Economic Regulation
32,1,1,1,1,1,0,Political & Ideological Stances
33,1,1,1,1,1,1,Tax Policy
34,0,0,1,1,1,1,Social Welfare & Poverty
35,1,1,1,1,1,1,Immigration & Refugees
36,1,1,0,0,0,0,Political & Ideological Stances
37,1,1,1,1,1,1,Political & Ideological Stances
38,0,1,1,1,1,1,Social Welfare & Poverty
39,0,1,1,1,1,1,Social Equality & Civil Rights
40,1,1,0,0,0,0,Abortion Rights
41,0,1,1,1,1,1,Social Welfare & Poverty
42,1,1,0,0,0,0,Political & Ideological Stances
43,1,1,1,1,1,1,Immigration & Refugees
44,1,1,1,1,0,0,Social Equality & Civil Rights
45,0,0,1,1,1,1,Healthcare
46,1,1,0,0,0,0,Military & Defense Spending
47,1,1,1,1,1,1,Political & Ideological Stances
48,1,1,0,0,0,0,Tax Policy
49,1,1,1,1,0,0,Political & Ideological Stances
50,1,1,0,0,0,0,Military & Defense Spending
51,1,1,1,1,1,1,Healthcare
52,0,0,1,1,1,1,Climate & Environment
53,1,1,1,1,0,0,Immigration & Refugees
54,1,1,1,1,1,1,Social Welfare & Poverty
55,1,1,0,0,0,0,Political & Ideological Stances
56,0,0,1,1,1,1,Healthcare
57,0,0,1,1,0,0,Social Welfare & Poverty
58,1,1,0,0,0,0,Political & Ideological Stances
59,0,0,1,1,0,0,Social Welfare & Poverty
60,0,1,1,1,0,0,LGBTQ+ Rights
61,1,1,1,1,0,0,Corporate & Economic Regulation
62,0,1,1,1,0,0,Social Equality & Civil Rights
63,0,0,1,1,0,0,Social Welfare & Poverty
64,0,0,1,1,0,0,Political & Ideological Stances
65,1,1,0,1,0,0,Abortion Rights
66,1,1,1,1,0,0,Political & Ideological Stances
67,1,1,1,1,0,0,Political & Ideological Stances
68,1,1,1,1,0,0,Tax Policy
69,1,1,1,1,0,0,Tax Policy
70,1,1,0,0,0,0,Military & Defense Spending
71,1,1,0,0,0,0,Traditional Values & Gender Roles
72,1,1,0,0,0,0,Traditional Values & Gender Roles
73,1,1,0,0,0,0,Corporate & Economic Regulation
74,1,1,1,1,0,0,Social Welfare & Poverty
75,0,0,1,1,1,1,Social Welfare & Poverty
76,1,1,1,1,0,0,Traditional Values & Gender Roles
77,0,0,1,1,1,1,Social Equality & Civil Rights
78,0,1,1,1,1,0,Social Equality & Civil Rights
79,1,1,1,1,1,1,Immigration & Refugees
80,0,0,1,1,1,1,Social Equality & Civil Rights
81,0,1,1,1,0,0,Social Equality & Civil Rights
82,1,1,1,1,0,0,Social Equality & Civil Rights
83,0,0,1,1,0,0,Healthcare
84,1,1,1,1,0,0,Social Welfare & Poverty
85,1,1,0,0,0,0,Immigration & Refugees
86,1,1,1,1,1,0,Social Equality & Civil Rights
87,0,0,1,1,0,0,Gun Control
88,1,1,1,1,1,1,Immigration & Refugees
89,0,1,1,1,0,0,Social Welfare & Poverty
90,1,1,0,0,0,0,Political & Ideological Stances
91,0,0,1,1,1,1,Social Welfare & Poverty
92,1,1,0,0,0,0,Tax Policy
93,1,1,1,1,1,1,Social Welfare & Poverty
94,0,1,1,1,1,1,Climate & Environment
95,0,0,1,1,0,0,Social Welfare & Poverty
96,1,1,1,1,0,0,Social Welfare & Poverty
97,0,1,1,1,0,0,Social Welfare & Poverty
98,0,0,1,1,1,1,Social Welfare & Poverty
99,0,0,1,1,0,0,Social Welfare & Poverty
100,0,0,1,1,1,0,Healthcare
101,1,1,0,0,0,0,Traditional Values & Gender Roles
102,1,1,1,1,1,1,Social Welfare & Poverty
103,0,0,1,1,0,0,Social Welfare & Poverty
104,1,1,1,1,0,0,Immigration & Refugees
105,1,1,1,1,0,0,Social Welfare & Poverty
106,0,0,1,1,1,0,Social Welfare & Poverty
107,0,0,1,1,1,1,Social Welfare & Poverty
108,0,1,1,1,1,1,Social Equality & Civil Rights
109,1,1,0,0,0,0,Political & Ideological Stances
110,0,1,1,1,1,1,Healthcare
111,1,1,1,1,0,0,Abortion Rights
112,1,1,0,0,1,1,Social Equality & Civil Rights
113,1,1,0,0,0,0,Tax Policy
114,1,1,0,1,0,0,Climate & Environment
115,0,1,1,1,1,0,Social Welfare & Poverty
116,0,0,1,1,0,1,Social Welfare & Poverty
117,0,0,1,1,0,0,Social Welfare & Poverty
118,0,0,1,1,1,1,Social Welfare & Poverty
119,0,1,1,1,0,1,Social Equality & Civil Rights
120,0,1,1,1,1,1,Social Welfare & Poverty
