q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
0,0,0,1,1,1,1,Traditional Values & Gender Roles
1,0,0,1,1,0,1,Social Welfare & Poverty
2,0,0,1,0,1,1,Political & Ideological Stances
3,1,1,1,1,1,1,Social Equality & Civil Rights
4,0,0,1,1,1,1,Traditional Values & Gender Roles
5,0,0,1,0,1,1,Traditional Values & Gender Roles
6,1,1,1,1,1,1,Social Equality & Civil Rights
7,0,0,0,0,1,1,Gun Control
8,0,1,1,1,1,1,Social Equality & Civil Rights
9,0,0,0,0,1,1,Tax Policy
10,0,0,1,1,1,1,Social Welfare & Poverty
11,0,0,0,0,1,1,Military & Defense Spending
12,0,0,1,1,1,1,Social Equality & Civil Rights
13,0,0,0,0,1,1,Traditional Values & Gender Roles
14,0,0,1,1,0,0,Social Welfare & Poverty
15,0,0,0,0,1,1,Traditional Values & Gender Roles
16,0,0,1,1,1,1,Traditional Values & Gender Roles
17,0,0,1,1,1,1,Traditional Values & Gender Roles
18,0,0,0,0,1,1,Traditional Values & Gender Roles
19,0,0,0,0,1,1,Traditional Values & Gender Roles
20,0,0,0,0,1,1,Climate & Environment
21,0,0,1,1,0,0,LGBTQ+ Rights
22,0,0,1,1,0,0,Social Welfare & Poverty
23,0,0,0,0,0,0,Traditional Values & Gender Roles
24,0,0,1,1,1,1,Tax Policy
25,0,1,1,1,1,1,Social Welfare & Poverty
26,0,1,1,1,1,1,Social Equality & Civil Rights
27,0,0,1,1,1,1,Abortion Rights
28,0,1,1,1,0,0,Social Welfare & Poverty
29,0,0,1,1,1,1,Political & Ideological Stances
30,1,1,1,1,1,1,Immigration & Refugees
31,0,0,0,0,0,0,Political & Ideological Stances
32,0,0,1,1,1,1,Healthcare
33,0,0,0,0,0,0,Political & Ideological Stances
34,0,0,1,1,1,1,Corporate & Economic Regulation
35,1,1,1,1,1,1,Social Equality & Civil Rights
36,0,0,1,1,1,1,Climate & Environment
37,0,0,0,0,1,1,Traditional Values & Gender Roles
38,1,1,1,1,1,1,Social Welfare & Poverty
39,0,0,1,0,1,1,Political & Ideological Stances
40,0,0,1,1,1,1,Social Equality & Civil Rights
41,0,0,1,1,0,0,Social Welfare & Poverty
42,0,0,1,1,1,1,Political & Ideological Stances
43,0,0,1,1,0,0,Social Welfare & Poverty
44,0,1,1,1,0,0,LGBTQ+ Rights
45,0,1,1,1,1,1,Social Welfare & Poverty
46,0,0,1,1,0,0,Social Welfare & Poverty
47,0,0,1,1,0,0,Social Equality & Civil Rights
48,0,0,1,1,1,1,Traditional Values & Gender Roles
49,0,0,0,0,1,1,Traditional Values & Gender Roles
50,0,0,0,0,1,1,Traditional Values & Gender Roles
51,0,0,1,1,1,1,Traditional Values & Gender Roles
52,0,0,1,1,1,1,Traditional Values & Gender Roles
53,0,0,1,0,1,1,Corporate & Economic Regulation
54,0,0,0,0,1,0,Social Welfare & Poverty
55,0,0,1,1,0,0,Social Welfare & Poverty
56,0,0,1,1,1,1,Traditional Values & Gender Roles
57,0,0,1,1,1,1,Social Equality & Civil Rights
58,0,1,1,1,1,1,Social Equality & Civil Rights
59,0,0,0,0,0,0,Military & Defense Spending
60,0,0,1,1,1,1,Social Welfare & Poverty
61,0,1,1,1,1,1,Social Equality & Civil Rights
62,1,1,1,1,0,0,Social Equality & Civil Rights
63,0,0,1,1,1,1,Social Equality & Civil Rights
64,0,0,1,1,1,1,Traditional Values & Gender Roles
65,0,0,1,1,1,1,Immigration & Refugees
66,1,1,1,1,1,1,Social Equality & Civil Rights
67,0,0,1,1,0,0,Gun Control
68,0,0,0,0,0,0,Traditional Values & Gender Roles
69,0,0,1,1,1,1,Social Welfare & Poverty
70,0,0,1,1,1,1,Political & Ideological Stances
71,0,0,1,1,1,1,Social Welfare & Poverty
72,0,0,1,1,1,1,Corporate & Economic Regulation
73,1,1,1,1,1,1,Social Equality & Civil Rights
74,0,1,1,1,1,0,Climate & Environment
75,0,0,1,1,1,0,Social Welfare & Poverty
76,0,0,0,0,1,0,Traditional Values & Gender Roles
77,0,1,1,1,0,0,Social Equality & Civil Rights
78,0,0,1,1,1,1,Social Equality & Civil Rights
79,0,0,1,1,0,0,Social Welfare & Poverty
80,0,0,1,1,0,0,Abortion Rights
81,0,0,1,1,1,1,Traditional Values & Gender Roles
82,1,1,1,1,1,1,Social Welfare & Poverty
83,0,0,1,1,0,0,Social Welfare & Poverty
84,0,0,0,0,0,0,Traditional Values & Gender Roles
85,0,0,0,0,1,1,Traditional Values & Gender Roles
86,0,0,1,1,1,1,Social Equality & Civil Rights
87,0,0,1,1,1,1,Social Welfare & Poverty
88,0,1,1,1,1,1,Social Welfare & Poverty
89,0,0,1,0,1,1,Social Welfare & Poverty
90,0,1,1,1,1,1,Healthcare
