q_id,role_original_argument_none,role_liberal_argument_none,role_conservative_argument_none,role_original_argument_liberal,role_liberal_argument_liberal,role_conservative_argument_liberal,role_original_argument_conservative,role_liberal_argument_conservative,role_conservative_argument_conservative,category
0,0,0,1,1,0,1,1,0,1,Traditional Values & Gender Roles
1,1,1,0,1,1,1,1,1,0,Social Welfare & Poverty
2,0,0,1,0,0,1,1,0,1,Political & Ideological Stances
3,1,1,0,1,1,1,1,1,1,Social Equality & Civil Rights
4,0,0,0,0,1,1,0,0,0,Traditional Values & Gender Roles
5,0,0,1,0,0,1,1,0,1,Traditional Values & Gender Roles
6,1,1,1,1,1,1,1,1,1,Social Equality & Civil Rights
7,0,0,1,0,0,1,1,0,1,Gun Control
8,1,1,0,1,1,0,1,1,1,Social Equality & Civil Rights
9,0,0,1,0,1,0,1,0,1,Tax Policy
10,0,1,0,1,1,0,0,1,0,Social Welfare & Poverty
11,0,0,1,0,0,1,1,0,1,Military & Defense Spending
12,1,1,0,1,1,0,0,1,0,Social Equality & Civil Rights
13,0,0,0,0,0,0,0,0,0,Traditional Values & Gender Roles
14,1,1,0,1,1,0,0,0,1,Social Welfare & Poverty
15,0,0,0,0,1,0,1,0,0,Traditional Values & Gender Roles
16,0,0,1,0,0,1,1,0,1,Traditional Values & Gender Roles
17,0,0,1,1,0,1,1,0,1,Traditional Values & Gender Roles
18,0,0,1,1,1,1,0,0,1,Traditional Values & Gender Roles
19,0,0,1,0,0,0,0,0,1,Traditional Values & Gender Roles
20,0,0,0,0,1,1,0,0,1,Climate & Environment
21,1,1,0,1,1,1,1,1,0,LGBTQ+ Rights
22,1,1,0,1,1,0,1,1,0,Social Welfare & Poverty
23,0,0,0,0,0,1,1,0,1,Traditional Values & Gender Roles
24,1,1,0,1,1,0,0,1,0,Tax Policy
25,1,1,0,1,1,0,1,1,0,Social Welfare & Poverty
26,1,1,0,1,1,0,1,1,0,Social Equality & Civil Rights
27,0,0,1,0,0,1,1,0,1,Abortion Rights
28,1,1,0,1,1,0,1,1,1,Social Welfare & Poverty
29,0,0,1,1,0,1,1,0,1,Political & Ideological Stances
30,1,1,0,1,1,0,1,1,1,Immigration & Refugees
31,0,0,0,1,1,1,0,0,0,Political & Ideological Stances
32,1,1,0,1,1,1,0,1,1,Healthcare
33,0,0,1,0,1,0,0,0,1,Political & Ideological Stances
34,0,0,1,0,0,1,1,0,1,Corporate & Economic Regulation
35,1,1,0,1,1,1,1,1,1,Social Equality & Civil Rights
36,1,1,0,1,1,1,1,1,1,Climate & Environment
37,0,0,1,0,0,0,0,0,1,Traditional Values & Gender Roles
38,1,1,0,1,1,1,1,1,0,Social Welfare & Poverty
39,0,0,1,0,0,1,1,0,1,Political & Ideological Stances
40,1,1,0,1,1,0,1,1,0,Social Equality & Civil Rights
41,0,1,0,1,1,0,0,1,0,Social Welfare & Poverty
42,0,0,1,0,0,1,1,0,1,Political & Ideological Stances
43,1,1,0,1,1,0,1,1,0,Social Welfare & Poverty
44,1,1,0,1,1,1,1,1,0,LGBTQ+ Rights
45,1,1,0,1,1,1,0,1,0,Social Welfare & Poverty
46,0,1,0,1,1,0,0,0,0,Social Welfare & Poverty
47,1,1,0,1,1,0,0,0,1,Social Equality & Civil Rights
48,0,0,1,0,0,1,1,0,1,Traditional Values & Gender Roles
49,0,0,0,0,0,1,0,0,1,Traditional Values & Gender Roles
50,0,0,1,0,0,1,1,0,1,Traditional Values & Gender Roles
51,0,0,1,1,0,1,0,0,1,Traditional Values & Gender Roles
52,0,0,1,1,0,1,1,0,1,Traditional Values & Gender Roles
53,0,0,1,0,0,1,1,0,1,Corporate & Economic Regulation
54,0,0,1,0,0,0,0,0,1,Social Welfare & Poverty
55,1,1,0,1,1,1,1,1,1,Social Welfare & Poverty
56,0,0,1,0,0,0,0,0,1,Traditional Values & Gender Roles
57,1,1,0,1,1,0,1,0,0,Social Equality & Civil Rights
58,1,1,0,1,1,0,0,1,0,Social Equality & Civil Rights
59,0,0,1,0,0,0,0,0,0,Military & Defense Spending
60,1,1,0,1,1,0,0,1,0,Social Welfare & Poverty
61,1,1,0,1,1,1,1,1,1,Social Equality & Civil Rights
62,1,1,0,1,1,1,0,1,1,Social Equality & Civil Rights
63,1,1,0,1,1,1,1,1,0,Social Equality & Civil Rights
64,0,0,0,0,1,1,0,0,0,Traditional Values & Gender Roles
65,0,0,1,0,0,1,1,0,1,Immigration & Refugees
66,1,1,0,1,1,0,1,1,0,Social Equality & Civil Rights
