q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
0,,1.0,1.0,1.0,1.0,1.0,Political & Ideological Stances
1,,1.0,1.0,1.0,1.0,1.0,Climate & Environment
2,,1.0,0.0,0.0,0.0,1.0,Social Welfare & Poverty
3,,,1.0,1.0,1.0,0.0,Abortion Rights
4,1.0,1.0,0.0,1.0,0.0,1.0,Social Equality & Civil Rights
5,0.0,0.0,1.0,1.0,0.0,0.0,Corporate & Economic Regulation
6,,,1.0,1.0,1.0,1.0,LGBTQ+ Rights
7,1.0,1.0,1.0,1.0,1.0,1.0,Political & Ideological Stances
8,,1.0,1.0,1.0,1.0,1.0,Climate & Environment
9,1.0,1.0,1.0,0.0,0.0,1.0,Social Equality & Civil Rights
10,,,1.0,1.0,1.0,0.0,Gun Control
11,1.0,1.0,0.0,1.0,0.0,0.0,Social Equality & Civil Rights
12,1.0,0.0,1.0,1.0,1.0,0.0,Tax Policy
13,1.0,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
14,1.0,1.0,1.0,1.0,0.0,0.0,Military & Defense Spending
15,1.0,1.0,0.0,1.0,0.0,0.0,Healthcare
16,1.0,1.0,1.0,0.0,0.0,0.0,Military & Defense Spending
17,1.0,1.0,1.0,1.0,0.0,0.0,Tax Policy
18,,1.0,1.0,0.0,1.0,0.0,Climate & Environment
19,1.0,1.0,1.0,1.0,1.0,0.0,Corporate & Economic Regulation
20,,1.0,1.0,1.0,1.0,1.0,Immigration & Refugees
21,0.0,1.0,0.0,1.0,1.0,0.0,Social Welfare & Poverty
22,1.0,1.0,1.0,1.0,1.0,1.0,LGBTQ+ Rights
23,,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
24,1.0,1.0,1.0,0.0,0.0,0.0,Political & Ideological Stances
25,0.0,1.0,1.0,1.0,1.0,1.0,Tax Policy
26,,1.0,1.0,1.0,1.0,1.0,Climate & Environment
27,1.0,1.0,1.0,1.0,1.0,0.0,Social Welfare & Poverty
28,1.0,1.0,1.0,1.0,0.0,1.0,Climate & Environment
29,,1.0,1.0,1.0,0.0,0.0,LGBTQ+ Rights
30,1.0,1.0,0.0,1.0,0.0,0.0,Climate & Environment
31,1.0,1.0,1.0,1.0,1.0,0.0,Corporate & Economic Regulation
32,,1.0,1.0,1.0,1.0,0.0,Political & Ideological Stances
33,1.0,1.0,1.0,1.0,1.0,1.0,Tax Policy
34,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
35,,1.0,1.0,1.0,1.0,1.0,Immigration & Refugees
36,1.0,0.0,1.0,1.0,1.0,0.0,Political & Ideological Stances
37,1.0,1.0,1.0,1.0,1.0,0.0,Political & Ideological Stances
38,1.0,1.0,1.0,1.0,0.0,1.0,Social Welfare & Poverty
39,1.0,1.0,0.0,0.0,0.0,1.0,Social Equality & Civil Rights
40,,,1.0,1.0,1.0,1.0,Abortion Rights
41,1.0,1.0,1.0,1.0,1.0,1.0,Social Welfare & Poverty
42,1.0,1.0,1.0,0.0,0.0,0.0,Political & Ideological Stances
