q_id,role_original_argument_none,role_liberal_argument_none,role_conservative_argument_none,role_original_argument_liberal,role_liberal_argument_liberal,role_conservative_argument_liberal,role_original_argument_conservative,role_liberal_argument_conservative,role_conservative_argument_conservative,category
0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Traditional Values & Gender Roles
1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
2,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,Political & Ideological Stances
3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
4,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Traditional Values & Gender Roles
6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,Social Equality & Civil Rights
7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Gun Control
8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
9,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Tax Policy
10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
11,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Military & Defense Spending
12,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
13,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
15,1.0,1.0,,1.0,1.0,,1.0,1.0,,Traditional Values & Gender Roles
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
17,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Traditional Values & Gender Roles
18,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,Traditional Values & Gender Roles
19,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
20,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,Climate & Environment
21,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,LGBTQ+ Rights
22,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
23,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Traditional Values & Gender Roles
24,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Tax Policy
25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
27,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Abortion Rights
28,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
29,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Political & Ideological Stances
30,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Immigration & Refugees
31,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Political & Ideological Stances
32,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Healthcare
33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Political & Ideological Stances
34,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Corporate & Economic Regulation
35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,Social Equality & Civil Rights
36,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Climate & Environment
37,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
38,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
39,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Political & Ideological Stances
40,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
41,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
42,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Political & Ideological Stances
43,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
44,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,LGBTQ+ Rights
45,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
47,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
50,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Traditional Values & Gender Roles
51,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
52,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,Traditional Values & Gender Roles
53,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Corporate & Economic Regulation
54,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Social Welfare & Poverty
55,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Social Welfare & Poverty
56,1.0,,,1.0,1.0,,1.0,1.0,,Traditional Values & Gender Roles
57,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
58,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
59,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Military & Defense Spending
60,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
61,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
62,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
63,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
64,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
65,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Immigration & Refugees
66,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Gun Control
68,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
69,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Political & Ideological Stances
71,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Social Welfare & Poverty
72,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Corporate & Economic Regulation
73,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,Social Equality & Civil Rights
74,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Climate & Environment
75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
